name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two
Amrutha Hotel,0,0,,0,Whitefield,Quick Bites,"Andhra, North Indian",300.0
Biryani Royals Garden,1,0,,0,Kumaraswamy Layout,Quick Bites,"North Indian, Biryani, Mughlai",500.0
Me And My Cake,0,0,,0,Bellandur,"Takeaway, Delivery","Bakery, Desserts",500.0
Waffle Stories,1,0,,0,HSR,Dessert Parlor,"Desserts, Beverages",300.0
Cakecraft,0,0,,0,Jayanagar,Takeaway,Desserts,350.0
Zafron Cafe,0,0,,0,Marathahalli,Quick Bites,"Beverages, Fast Food",300.0
A La Carte Restaurant,0,0,,0,Sarjapur Road,Quick Bites,"Chinese, North Indian",500.0
Bery's Cafe,0,0,,0,Indiranagar,Beverage Shop,"Juices, Beverages",150.0
Shri Guru Raghavendra Grand Veg,0,0,,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",400.0
Foody's Lane,1,0,,0,Koramangala 4th Block,Quick Bites,"North Indian, Chinese",450.0
7 Hills Garden Restaurant,1,0,,0,Banashankari,Quick Bites,"North Indian, Mughlai, Chinese",400.0
Five Satr Chiken,0,0,,0,Bellandur,Quick Bites,Fast Food,300.0
Club Food,1,0,,0,Sarjapur Road,Quick Bites,"North Indian, Chinese",250.0
At North Parontha Hut,0,0,,0,Whitefield,Quick Bites,North Indian,200.0
Tasty Food,1,0,,0,Whitefield,Quick Bites,"North Indian, Chinese",300.0
Temptation,1,0,,0,Whitefield,Quick Bites,North Indian,500.0
Sona's Kitchen,0,0,,0,Bellandur,"Takeaway, Delivery",North Indian,300.0
Noodle Oodle,0,0,,0,Bellandur,"Takeaway, Delivery",Chinese,400.0
SLN Bar and Restaurant,0,0,,0,Banashankari,Casual Dining,"North Indian, Chinese",700.0
Ferment,0,0,,0,Banashankari,"Casual Dining, Bar",Continental,1000.0
Swagath Authentic Nati Style,1,0,,0,Indiranagar,Quick Bites,"Biryani, South Indian",350.0
The Cool Zone,0,0,,0,Domlur,Beverage Shop,"Beverages, Juices",100.0
Ramana Hotel,0,0,,0,Bellandur,Quick Bites,"South Indian, North Indian",300.0
The Munch Box,0,0,,0,HSR,Quick Bites,"American, Chinese",300.0
Indian Chulha,0,0,,0,Whitefield,Quick Bites,North Indian,200.0
Delicious Mom's Kitchen,0,0,,0,BTM,Quick Bites,"Bengali, North Indian",200.0
RGS Ambur briyani,0,0,,0,BTM,Quick Bites,"Biryani, Kebab",300.0
SRF Family Restaurant,0,0,,0,Whitefield,Quick Bites,"Chinese, North Indian",250.0
Donne Biriyani Mane,0,0,,0,JP Nagar,Quick Bites,"Biryani, Kebab",250.0
Five Star New Ambur Biryani,0,0,,0,BTM,Quick Bites,"Biryani, North Indian, Kebab, Chinese",300.0
Bismillah Restaurant,0,0,,0,BTM,Quick Bites,"Biryani, North Indian, South Indian",200.0
Chatori Zuban,0,0,,0,BTM,Quick Bites,"North Indian, Fast Food",200.0
Cee Yem,0,0,,0,BTM,Quick Bites,"South Indian, Kerala, North Indian",300.0
Chinese Corner,0,0,,0,BTM,Quick Bites,Chinese,300.0
Hello Dish Biriyani,0,0,,0,BTM,Quick Bites,Biryani,200.0
Jhanavi Restaurant,1,0,,0,Sarjapur Road,Quick Bites,"North Indian, Chinese, Rolls",400.0
Shreyas Veg,0,0,,0,Whitefield,Quick Bites,South Indian,200.0
Amrutha Restaurant,0,0,,0,Bommanahalli,Quick Bites,"South Indian, North Indian, Chinese",250.0
Hotel Sultan,0,0,,0,Bommanahalli,Quick Bites,Kebab,250.0
Kolkata New Style Famous Kati Roll,0,0,,0,Whitefield,Quick Bites,"Street Food, Rolls",120.0
Strategic Timeout Cafe,0,0,,0,BTM,Quick Bites,"Fast Food, Beverages",300.0
Sriracha Robata & Contemporary Pan Asian Dining,0,0,,0,Indiranagar,Casual Dining,"Asian, BBQ, Seafood, Chinese",1000.0
Sri Banashankari Upahara,1,0,,0,Kumaraswamy Layout,Quick Bites,"North Indian, South Indian",150.0
Quality Dum Biriyani,0,0,,0,Banashankari,Quick Bites,"Biryani, Kebab",150.0
Hyderabad Express,1,0,,0,Banashankari,Quick Bites,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300.0
Sri Sharana Basaveshwara Khanavali,0,0,,0,BTM,Quick Bites,South Indian,200.0
Bangalore Kabab Palace,0,0,,0,Banashankari,Quick Bites,"Andhra, Biryani",150.0
Juice n Cafe,0,0,,0,Sarjapur Road,"Quick Bites, Beverage Shop","Burger, Sandwich, Beverages, Juices",150.0
Dtink Lab,0,0,,0,Banashankari,Quick Bites,"Beverages, Sandwich",80.0
Chutneys Tiffin Center,0,0,,0,BTM,Quick Bites,"South Indian, Andhra, Chinese",300.0
Rabiya Caterers,0,0,,0,Shanti Nagar,"Takeaway, Delivery",Mughlai,600.0
Happy Eat,1,0,,0,Sarjapur Road,Quick Bites,"Biryani, Chinese, North Indian",300.0
Sids Cafe,1,0,,0,Koramangala 5th Block,Quick Bites,Fast Food,200.0
Sri Raghavendra Prasanna Coffee Beans Club,0,0,,0,Banashankari,Quick Bites,South Indian,150.0
Cool Bites,1,0,,0,Koramangala 4th Block,Quick Bites,"Fast Food, Juices",200.0
Santo's,1,0,,0,Marathahalli,Food Court,North Indian,500.0
Manna Tasty Foods,0,0,,0,Hosur Road,Quick Bites,"South Indian, Biryani, Seafood",500.0
ThugLife Rolls,0,0,,0,Hosur Road,Quick Bites,Rolls,200.0
Taja Coffee,0,0,,0,Banashankari,Quick Bites,South Indian,150.0
Funjabi Times,1,0,,0,Whitefield,Quick Bites,North Indian,300.0
Amaravathi Biryani Zone,1,0,,0,Whitefield,Quick Bites,"Chinese, South Indian, North Indian",600.0
Ghar Ka Chulha,0,0,,0,Marathahalli,Delivery,North Indian,150.0
The Uptown,0,0,,0,BTM,"Quick Bites, Beverage Shop","Fast Food, Beverages",300.0
Fast N Food,0,0,,0,BTM,Quick Bites,"Chinese, North Indian, Seafood",250.0
Swad Now - The Biriyani Factory,0,0,,0,BTM,Quick Bites,"North Indian, Biryani",400.0
The Samosa Co,1,0,,0,Jayanagar,Quick Bites,"Fast Food, Mithai",200.0
Watson's,1,0,,0,Indiranagar,Pub,"Finger Food, Salad, Chinese, Continental",1300.0
Inntense Restobar,0,1,,0,Indiranagar,"Bar, Casual Dining","Finger Food, Continental, North Indian, Fast Food",1600.0
Cueferia A-Cafe,0,0,,0,Banashankari,Quick Bites,"North Indian, South Indian, Fast Food, Chinese, Italian",400.0
Shree Udupi South kitchen,0,0,,0,Banashankari,Quick Bites,South Indian,150.0
YummyyDoz,0,0,,0,BTM,Quick Bites,"Beverages, Fast Food",200.0
Bihari Food Corner,0,0,,0,BTM,Quick Bites,"North Indian, Chinese",250.0
The Ganache Factory,0,0,,0,Bellandur,"Dessert Parlor, Bakery","Desserts, Bakery",400.0
HOTEL VKM,1,0,,0,BTM,Quick Bites,South Indian,300.0
Healthy Parathawala,1,0,,0,BTM,Quick Bites,North Indian,200.0
Nawab's Kitchen,0,0,,0,Bellandur,Quick Bites,"Biryani, Chinese",400.0
Bob's Bar,0,0,,0,Koramangala 7th Block,"Bar, Casual Dining","South Indian, Finger Food",1000.0
Shiva's Bar And Restaurant,0,0,,0,BTM,"Bar, Casual Dining","South Indian, North Indian, Fast Food",800.0
Blue Nile Coffee Shop,0,0,,0,Seshadripuram,Cafe,Cafe,600.0
Old Days North Indian Restaurant,0,0,,0,Basavanagudi,Casual Dining,North Indian,450.0
Tejas Bar and Restaurant,0,0,,0,Nagarbhavi,Casual Dining,"Chinese, South Indian",800.0
Kaapi Adda,0,0,,0,Rajajinagar,Cafe,"Cafe, Fast Food",300.0
Subway,1,0,,0,BTM,Quick Bites,"Salad, Fast Food",600.0
On The Go,0,0,,0,Whitefield,Quick Bites,"North Indian, Mughlai, Chinese",400.0
All In One Desi Khana,0,0,,0,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",500.0
Salkara Malabar Kitchen,0,0,,0,BTM,Quick Bites,"South Indian, North Indian, Chinese",300.0
Teekhi Mirrchi,0,0,,0,Bellandur,"Takeaway, Delivery","Chinese, North Indian",700.0
SS Hot Dum Briyani Point,0,0,,0,BTM,Quick Bites,"Biryani, North Indian, South Indian",300.0
Zed Cafe,0,0,,0,BTM,Quick Bites,"Kerala, South Indian, Desserts",350.0
Food Junction,0,0,,0,Whitefield,Quick Bites,Street Food,100.0
Snack N Slurp,0,0,,0,Jayanagar,Quick Bites,"Burger, Sandwich, Pizza, Chinese",200.0
ONS Food,0,0,,0,Thippasandra,Quick Bites,"North Indian, Chinese",150.0
New Udupi Shubh Sagar,0,0,,0,Whitefield,Quick Bites,"South Indian, North Indian, Chinese",400.0
Stories - The Brew Chapter,0,0,,0,BTM,Bar,"Continental, Chinese, North Indian",1200.0
Regal Cafe,0,0,,0,BTM,"Quick Bites, Beverage Shop","Street Food, Juices",200.0
Hotel Adhvi,0,0,,0,BTM,Quick Bites,South Indian,150.0
Mast Biryani,0,0,,0,BTM,Quick Bites,Biryani,300.0
Toasty's,0,0,,0,Whitefield,Food Court,Fast Food,500.0
Apna Odisha Kolkatta Hotel,0,0,,0,BTM,Quick Bites,North Indian,400.0
Navaruchi,0,0,,0,BTM,Quick Bites,"Chinese, North Indian, South Indian",350.0
Pallavi Bar & Restaurant,0,0,,0,Mysore Road,"Casual Dining, Bar","North Indian, South Indian, Chinese",550.0
Dribzz Bakes & Cafe,0,0,,0,BTM,Quick Bites,"Fast Food, Chinese, Desserts",200.0
Five Senses,1,0,,0,Bellandur,"Takeaway, Delivery","North Indian, Fast Food, Chinese",500.0
Shawarma Hunt,0,0,,0,BTM,Quick Bites,Arabian,300.0
The Dragon Express,0,0,,0,Whitefield,Quick Bites,Chinese,200.0
Vibe Club,0,0,,0,BTM,Quick Bites,"Fast Food, Beverages",300.0
Ayush Reddy Tiffins & Fast Food Center,0,0,,0,BTM,Quick Bites,"South Indian, Fast Food, Chinese",300.0
Masale Daan,1,0,,0,RT Nagar,Delivery,North Indian,350.0
The Rice Company,1,0,,0,HSR,Delivery,"North Indian, Biryani",600.0
The Flying Trapeze,0,1,,0,Koramangala 5th Block,Lounge,"North Indian, Continental, Chinese",1500.0
Chaatora Ghar,0,0,,0,Bellandur,Food Court,North Indian,200.0
Curries and Pickles,1,0,,0,Whitefield,Quick Bites,"Andhra, North Indian, Biryani",250.0
Pan's Aroma,1,0,,0,Whitefield,Quick Bites,"Bengali, Biryani, North Indian, Chinese, Fast Food",400.0
Mirapakaya,1,0,,0,Bellandur,Quick Bites,"South Indian, Fast Food",300.0
Surabhi Restaurant,0,0,,0,Hosur Road,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",400.0
It's My Meal Food Service,0,0,,0,HSR,Delivery,"North Indian, Chinese",300.0
Oven Lovin',0,0,,0,Brigade Road,"Takeaway, Delivery","Desserts, Bakery",300.0
LocalHost,0,0,,0,Whitefield,Quick Bites,"Fast Food, Street Food, Beverages",100.0
Sree Sagar,1,0,,0,Banashankari,Quick Bites,South Indian,200.0
Red Chilli,1,0,,0,BTM,Quick Bites,"Chinese, Biryani",400.0
Navab's,1,0,,0,Koramangala 6th Block,Delivery,"North Indian, Chinese",600.0
Midnight Joe's,1,0,,0,HSR,"Takeaway, Delivery","Burger, Fast Food, Finger Food",300.0
Loukya Veg Restaurant,1,0,,0,Bommanahalli,Quick Bites,"North Indian, South Indian, Chinese",300.0
Sri Balaji Chats and Icecreams,1,0,,0,Bommanahalli,Quick Bites,Fast Food,250.0
Hotel Udupi Sagar,0,0,,0,Rajajinagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0
Biryani Factory,0,0,,0,Bellandur,Delivery,Biryani,400.0
Authentic Aandhra,1,0,,0,BTM,Delivery,"Andhra, North Indian",300.0
Ghar Ke Phulke,0,0,,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,300.0
The Chocolate Heaven - Cakes,1,0,,0,Bellandur,"Dessert Parlor, Bakery","Desserts, Bakery, Beverages",600.0
STTYTT,1,0,,0,Koramangala 4th Block,"Takeaway, Delivery","North Indian, South Indian, Chinese, Andhra, Fast Food",400.0
INDULGE by InnerChef,1,0,,0,JP Nagar,Bakery,"Desserts, Bakery",400.0
Samudra Restaurant,0,0,,0,Rajajinagar,Quick Bites,North Indian,400.0
Nimma Dharwad Mane,0,0,,0,Rajajinagar,Quick Bites,South Indian,300.0
Dhana Lakshmi Family Restaurant,0,0,,0,Rajajinagar,Casual Dining,"Chinese, North Indian",650.0
Chaat Cafee,1,0,,0,JP Nagar,Quick Bites,"Street Food, Juices",150.0
Ludhiana Junction,0,0,,0,Koramangala 3rd Block,Delivery,"South Indian, Rajasthani",300.0
SNACKOMATE,1,0,,0,Koramangala 5th Block,Quick Bites,Fast Food,300.0
Shiv Sagar,0,0,,0,Brigade Road,Quick Bites,"South Indian, Street Food, North Indian",250.0
Yumme,1,0,,0,Bannerghatta Road,Quick Bites,"Fast Food, Burger, Sandwich, Street Food",250.0
Akshaya Sweets & Chats,1,0,,0,Jayanagar,Sweet Shop,"Mithai, Street Food",200.0
Best Shawarmas,1,0,,0,BTM,Delivery,Rolls,300.0
Shiv Sagar,0,0,,0,MG Road,Casual Dining,"South Indian, North Indian, Chinese",800.0
Food Times,1,0,,0,JP Nagar,"Takeaway, Delivery","North Indian, Arabian",300.0
Royal Tea House,1,0,,0,Shivajinagar,Quick Bites,North Indian,100.0
Chef Baker's,1,0,,0,MG Road,"Bakery, Kiosk","Bakery, Desserts",600.0
Banashankri Donne Biriyani,1,0,,0,Ulsoor,Quick Bites,"Biryani, Fast Food",300.0
The Kitchen,1,0,,0,JP Nagar,Casual Dining,"North Indian, Andhra, Chinese",800.0
House of Tasty Food,1,0,,0,Wilson Garden,Quick Bites,North Indian,400.0
New Udupi,0,0,,0,"ITPL Main Road, Whitefield",Quick Bites,"South Indian, North Indian, Chinese",200.0
Food Singh,1,0,,0,JP Nagar,Delivery,North Indian,500.0
Bong Connections,0,0,,0,Whitefield,Quick Bites,"Chinese, North Indian",300.0
Dunkin' Donuts,0,0,,0,Sarjapur Road,"Quick Bites, Dessert Parlor",Desserts,300.0
AL - Khair,1,0,,0,Frazer Town,Quick Bites,North Indian,400.0
Eatsomnia,1,0,,0,JP Nagar,Delivery,"North Indian, South Indian, Chinese, Continental",500.0
Yum's The Word!,1,0,,0,Koramangala 4th Block,Delivery,Chinese,200.0
Onety 1,0,0,,0,Sarjapur Road,Quick Bites,"Chinese, Fast Food, Biryani",300.0
Lassi Ghar,1,0,,0,Bannerghatta Road,Beverage Shop,"Beverages, Ice Cream, Juices, Sandwich",150.0
Fahad Kabab Centre,1,0,,0,Frazer Town,Quick Bites,"Kebab, Chinese, Biryani",150.0
Gowdru Mane Baduta,0,0,,0,Rajajinagar,Quick Bites,"Chinese, South Indian",300.0
Ghar Ka Aahar,0,0,,0,Bellandur,Delivery,North Indian,400.0
Ahmed's,0,0,,0,Vasanth Nagar,Quick Bites,"Kebab, Biryani",200.0
Burger & Kulfi Plaza,0,0,,0,Bellandur,"Food Court, Quick Bites",Fast Food,300.0
Only Sharjah,1,0,,0,BTM,Beverage Shop,Beverages,200.0
Happy Eats,1,0,,0,JP Nagar,Delivery,"North Indian, Continental",300.0
Paani Puri Adda,0,0,,0,Bellandur,Delivery,North Indian,300.0
Shilpa Vegetarian Restaurant,0,0,,0,Shivajinagar,Quick Bites,"South Indian, North Indian, Chinese",350.0
Lyengar's Cakes N Cookies,1,0,,0,Bannerghatta Road,Bakery,"Bakery, Desserts",400.0
Sree Banashankari Donne Biriyani,1,0,,0,Rajajinagar,Quick Bites,"Biryani, South Indian",250.0
Sri Vishnu Garden Family Bar & Restaurant,1,0,,0,Sarjapur Road,"Bar, Casual Dining","North Indian, South Indian, Chinese, Hyderabadi",700.0
BEIR,0,0,,0,Bannerghatta Road,Casual Dining,"Mexican, American",800.0
YumYumSouth,1,0,,0,JP Nagar,Delivery,South Indian,600.0
Hyper Scoop,1,0,,0,Shanti Nagar,Dessert Parlor,"Desserts, Ice Cream",300.0
Royal's Biryani,1,0,,0,BTM,Quick Bites,Biryani,300.0
Snaiksa Foods,0,0,,0,HSR,Quick Bites,"North Indian, South Indian",300.0
Food Treat,0,0,,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Kerala",400.0
Lime Twist,1,0,,0,Brigade Road,Kiosk,"Beverages, Desserts",200.0
VegiGate,0,0,,0,Sarjapur Road,"Cafe, Quick Bites","Cafe, Chinese",500.0
Nawab Di Biryani,0,0,,0,Whitefield,"Takeaway, Delivery","Biryani, Mughlai",400.0
Taste Of Home,0,0,,0,Bannerghatta Road,"Takeaway, Delivery","South Indian, North Indian, Chinese",300.0
Lazeez Khana,0,0,,0,Shivajinagar,"Takeaway, Delivery","Arabian, North Indian, Fast Food",300.0
Agnihotri Cuisines,0,0,,0,MG Road,"Takeaway, Delivery","Chinese, North Indian, Fast Food",500.0
Dose Mane,0,0,,0,Rajajinagar,"Takeaway, Delivery",South Indian,150.0
WanderCrust,0,0,,0,HSR,"Takeaway, Delivery",Pizza,500.0
Jagannath Mess,0,0,,0,Brookefield,Mess,"Andhra, North Indian, South Indian",300.0
SSV Upahar,1,0,,0,Jayanagar,Quick Bites,"South Indian, Chinese",300.0
Al Baith,0,0,,0,Koramangala 7th Block,Quick Bites,"North Indian, Chinese",300.0
Sri Sai Sagar Food,0,0,,0,MG Road,Quick Bites,"Street Food, Fast Food, North Indian",300.0
Eat Repeat Express,0,0,,0,Bellandur,Delivery,"North Indian, Chinese, Continental",600.0
Daily Special,1,0,,0,BTM,Delivery,"North Indian, South Indian",400.0
Momo Time,1,0,,0,Bannerghatta Road,Quick Bites,"Momos, American",600.0
Re:fuel- Aloft Bengaluru Cessna Business Park,0,0,,0,Bellandur,"Cafe, Bakery","Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",1000.0
Ruchi Foods,1,0,,0,Bannerghatta Road,Quick Bites,"South Indian, Biryani",400.0
Waffle In The Box,1,0,,0,Thippasandra,Dessert Parlor,Desserts,300.0
Kerala Food,0,0,,0,Vasanth Nagar,Quick Bites,"South Indian, Chinese, North Indian",200.0
Momo Time,1,0,,0,Whitefield,Quick Bites,"Momos, Chinese",300.0
Mr. Cane,1,0,,0,Bommanahalli,Beverage Shop,Juices,100.0
Ambur Biryani,1,0,,0,Frazer Town,Quick Bites,"Biryani, Kebab",300.0
Just Baked,0,0,,0,Commercial Street,"Bakery, Quick Bites","Bakery, Desserts",400.0
Biryani Treat,0,0,,0,Rajajinagar,Quick Bites,Biryani,400.0
Payohima,0,0,,0,Sarjapur Road,Casual Dining,"South Indian, Ice Cream",1000.0
C R Mangalore Bakery,0,0,,0,Sarjapur Road,Bakery,Bakery,300.0
Nandhana Mithai,0,0,,0,Indiranagar,Sweet Shop,"Mithai, Desserts",500.0
Prawn Crunch,0,0,,0,Richmond Road,Delivery,"Seafood, Fast Food",400.0
Namana Garden,1,0,,0,Bannerghatta Road,Quick Bites,"South Indian, Beverages",250.0
Chaat Chatore,0,0,,0,MG Road,Quick Bites,"Fast Food, Street Food",150.0
Cafe Longing,0,0,,0,BTM,Quick Bites,Fast Food,400.0
South Cool Point,1,0,,0,Basavanagudi,Dessert Parlor,Beverages,100.0
Momo King,1,0,,0,Bannerghatta Road,Quick Bites,"Momos, Fast Food",200.0
House Of Candy,1,0,,0,Malleshwaram,Confectionery,Desserts,200.0
Homey Bake & Juice,0,0,,0,Old Airport Road,"Bakery, Beverage Shop","Bakery, Beverages, Juices",100.0
Delicate Bites,0,0,,0,Sarjapur Road,Delivery,"Bakery, Desserts",300.0
Special Malai Gola,0,0,,0,BTM,Dessert Parlor,Ice Cream,200.0
Bhartiya Jalpan,0,0,,0,Commercial Street,Casual Dining,"North Indian, Street Food, Chinese",800.0
Masale Daan,0,0,,0,Rajajinagar,"Takeaway, Delivery",North Indian,350.0
Shawn's Bakehouse,0,0,,0,Old Airport Road,Bakery,Bakery,100.0
Smoothies Cafe,1,0,,0,HBR Layout,"Takeaway, Delivery","Cafe, Fast Food, Juices",200.0
Artinci Artisanal Ice Cream,1,0,,0,Jeevan Bhima Nagar,Dessert Parlor,"Desserts, Ice Cream",300.0
The Right Moo Organic Icecreams,0,0,,0,Rajajinagar,Dessert Parlor,Desserts,300.0
Kale Cafe,0,0,,0,Brookefield,Quick Bites,"Fast Food, Kerala",100.0
Mycakeshop,1,0,,0,BTM,Bakery,"Bakery, Desserts",300.0
Party Spice Food Hub,0,0,,0,KR Puram,Quick Bites,"North Indian, Chinese",300.0
Northern Tadka,0,0,,0,Bellandur,"Takeaway, Delivery",North Indian,400.0
Hungry Haters,1,0,,0,JP Nagar,Takeaway,"Chinese, North Indian",300.0
Creamiester Ice Creams,0,0,,0,Koramangala 4th Block,"Dessert Parlor, Beverage Shop","Desserts, Ice Cream, Beverages",300.0
Cafe Frying Wagon,1,0,,0,Seshadripuram,Quick Bites,"Chinese, Rolls",400.0
VM Amul Ice Cream,0,0,,0,Bellandur,Dessert Parlor,Ice Cream,100.0
Goodness! Beverages,0,0,,0,Rajajinagar,"Takeaway, Delivery",Beverages,250.0
Niranthara,1,0,,0,Vasanth Nagar,Casual Dining,North Indian,600.0
Sweet Mansion,0,0,,0,Indiranagar,Bakery,Bakery,200.0
Grilled Fish,0,0,,0,Rajajinagar,"Takeaway, Delivery","Seafood, Hyderabadi, Chinese",400.0
Manjunatha Condiments,0,0,,0,Rajajinagar,Quick Bites,"Fast Food, South Indian",200.0
Satyam Sweets,0,0,,0,Rajajinagar,Sweet Shop,"Mithai, Street Food",450.0
Best Biryani,0,0,,0,Ulsoor,Quick Bites,"Biryani, North Indian",300.0
Wangchuk Trail,0,0,,0,Bellandur,"Takeaway, Delivery",Chinese,200.0
Northern Flavour,0,0,,0,Rajajinagar,"Takeaway, Delivery",North Indian,300.0
Adithya Tiffin Centre,0,0,,0,Shanti Nagar,"Takeaway, Delivery",North Indian,200.0
Royal Biriyani Spot,0,0,,0,Rajajinagar,Quick Bites,"Biryani, South Indian",200.0
S.S Naati Style Hotel,0,0,,0,Rajajinagar,Quick Bites,"Biryani, South Indian",300.0
Cool Palace,0,0,,0,Rajajinagar,Confectionery,"Fast Food, Beverages",100.0
New Desi Paratha Point,0,0,,0,Bellandur,Quick Bites,"North Indian, Chinese",400.0
Sri Venkateshwara Utsav,0,0,,0,Rajajinagar,Quick Bites,"South Indian, North Indian, Chinese",400.0
Mezban Family Restaurant,1,0,,0,Basavanagudi,Quick Bites,"Chinese, North Indian",300.0
Chillout,1,0,,0,BTM,Cafe,"Burger, Cafe, Pizza, Beverages",200.0
Bhojan@99,1,0,,0,Bannerghatta Road,Quick Bites,Fast Food,200.0
Omm Sweets & Snacks,1,0,,0,Indiranagar,Sweet Shop,"Mithai, Street Food",100.0
Oven Fresh,0,0,,0,Domlur,Bakery,"Bakery, Fast Food",600.0
RICE BAR,0,0,,0,Bellandur,Delivery,"North Indian, Biryani",500.0
Arham's Resto,0,0,,0,Vasanth Nagar,Quick Bites,"Chinese, North Indian, Fast Food",250.0
Sri Sai Lakshmi,0,0,,0,HSR,Delivery,South Indian,200.0
Pan Asian,1,0,,0,BTM,Quick Bites,Chinese,500.0
Next Corner,0,0,,0,Rajajinagar,Quick Bites,North Indian,150.0
Tasty Treats,0,0,,0,MG Road,Quick Bites,"South Indian, Chinese, Fast Food",350.0
Wow Tasty Food,1,0,,0,Frazer Town,Quick Bites,"Chinese, Fast Food",300.0
Dipd N Chocolate,1,0,,0,Koramangala 7th Block,Cafe,"Cafe, Desserts",300.0
Gooey & Fluffy,0,0,,0,Bellandur,Delivery,"Desserts, Bakery",200.0
The Chola,0,0,,0,Frazer Town,Quick Bites,"Biryani, Chinese, Fast Food, Kebab",200.0
Donne Biriyani combos,1,0,,0,Kumaraswamy Layout,Casual Dining,Biryani,400.0
Shiv Shakti Hotel,0,0,,0,Bellandur,Quick Bites,North Indian,200.0
Indian Desi Momo,1,0,,0,Bommanahalli,Takeaway,Momos,200.0
Paratha Point,0,0,,0,"ITPL Main Road, Whitefield",Quick Bites,"North Indian, Chinese",250.0
Harilal ka Bihari Dhaba,1,0,,0,Koramangala 1st Block,Dhaba,"North Indian, Bihari",250.0
Favourite Restaurant,1,0,,0,JP Nagar,"Takeaway, Delivery",Fast Food,300.0
Hit And Run,1,0,,0,Ulsoor,Delivery,"Tibetan, Chinese",300.0
FoodNite,1,0,,0,BTM,Quick Bites,"North Indian, Chinese, Fast Food",350.0
Nonveg Dreams,0,0,,0,Koramangala 2nd Block,Delivery,"North Indian, South Indian",400.0
Ice Creamist,1,0,,0,Indiranagar,Takeaway,"Ice Cream, Desserts",300.0
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,,0,JP Nagar,Delivery,Continental,500.0
Desi Feast,0,0,,0,"ITPL Main Road, Whitefield",Quick Bites,"North Indian, Chinese, Fast Food",400.0
The French Loaf,0,0,,0,Bellandur,"Bakery, Quick Bites","Bakery, Desserts",400.0
21 Corner Haus Cafe,0,0,,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0
Hotel Thansika,0,0,,0,Bellandur,Quick Bites,"South Indian, Biryani",200.0
Bombay Kulfi,0,0,,0,Brigade Road,Dessert Parlor,"Desserts, Ice Cream",150.0
Toledo Home Cafe,0,0,,0,Frazer Town,Delivery,Biryani,400.0
Five Senses,1,0,,0,Ulsoor,"Takeaway, Delivery","Continental, North Indian, Fast Food",500.0
Food n Fit,0,0,,0,Koramangala 7th Block,Delivery,"North Indian, Chinese",500.0
GFC Biryani,1,0,,0,BTM,Quick Bites,Biryani,300.0
Cookie Man,1,0,,0,Bannerghatta Road,Dessert Parlor,Bakery,150.0
Cake N Cream,0,0,,0,Jeevan Bhima Nagar,Bakery,"Bakery, Desserts",360.0
MoonKing Hotels,0,0,,0,KR Puram,Casual Dining,"North Indian, Biryani, South Indian, Chinese",400.0
YumYumDilli,1,0,,0,JP Nagar,Delivery,North Indian,500.0
Cake Inc.,0,0,,0,Domlur,Bakery,"Bakery, Desserts",450.0
Punjab Beat,1,1,,0,Whitefield,Casual Dining,North Indian,700.0
Organic,0,0,,0,Rajajinagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts",300.0
Lime Twist,1,0,,0,Koramangala 5th Block,Quick Bites,"Fast Food, Beverages",150.0
Narayany Pure Veg,1,0,,0,JP Nagar,Quick Bites,"Street Food, North Indian",250.0
Lazzet Lee,0,0,,0,Lavelle Road,Quick Bites,"Mughlai, Cafe",400.0
Jhonsons Happy Kitchen,0,0,,0,Richmond Road,Quick Bites,"South Indian, Chinese",300.0
Stand View Cake N Snack,0,0,,0,Indiranagar,Takeaway,"Fast Food, Beverages",300.0
Mane Ruchii,0,0,,0,Sarjapur Road,Quick Bites,"South Indian, Chinese, Kebab",400.0
Indira Sweets,0,0,,0,Thippasandra,Kiosk,"Street Food, Mithai",100.0
Dilli ??,1,0,,0,South Bangalore,Delivery,North Indian,500.0
Nellore Andhra Mess,0,0,,0,Bellandur,Mess,"Andhra, South Indian",300.0
FixMyNutrition,0,0,,0,Richmond Road,"Takeaway, Delivery","Salad, Asian, Continental, Healthy Food",500.0
Sri Murali Krishna,1,0,,0,Bellandur,Casual Dining,"North Indian, Chinese, Biryani",600.0
99 Eat Out,0,0,,0,Indiranagar,Delivery,"North Indian, Continental, Chinese",200.0
Yumms,0,0,,0,Majestic,Sweet Shop,Mithai,250.0
Aroma Cafe,0,0,,0,HSR,Quick Bites,"Rolls, Sandwich",300.0
Just Bake,0,0,,0,Basaveshwara Nagar,Bakery,Bakery,400.0
